systematic	common	init_type	n_symbols_in_scf	human_symbols_used	sources
YJL027C		random	0		
YJL028W		random	0		
YJL029C	VPS53	ortholog	1	VPS53	InParanoid,OMA
YJL030W	MAD2	ortholog	1	MAD2L1	InParanoid,OMA
YJL031C	BET4	random	0		
YJL032W		random	0		
YJL033W	HCA4	ortholog	1	DDX10	InParanoid
YJL034W	KAR2	ortholog	1	HSPA5	InParanoid,OMA
YJL035C	TAD2	ortholog	1	ADAT2	InParanoid,OMA
YJL036W	SNX4	ortholog	2	SNX30,SNX7	InParanoid,OMA
YJL037W	IRC18	random	0		
YJL038C	LOH1	random	0		
YJL039C	NUP192	random	0		
YJL041W	NSP1	random	0		
YJL042W	MHP1	random	0		
YJL043W		random	0		
YJL044C	GYP6	random	0		
YJL045W		ortholog	1	SDHA	InParanoid,OMA
YJL046W	AIM22	ortholog	1	LIPT1	InParanoid,OMA
YJL047C	RTT101	random	0		
YJL047C-A		random	0		
YJL048C	UBX6	random	0		
YJL049W		random	0		
YJL050W	MTR4	ortholog	4	DDX60,DDX60L,MTREX,SKIV2L	InParanoid,OMA,OrthoDB
YJL051W	IRC8	random	0		
YJL052C-A		random	0		
YJL052W	TDH1	ortholog	2	GAPDH,GAPDHS	InParanoid,OMA
YJL053W	PEP8	ortholog	2	VPS26A,VPS26B	InParanoid,OMA
YJL054W	TIM54	random	0		
YJL055W		random	0		
YJL056C	ZAP1	random	0		
YJL057C	IKS1	random	0		
YJL058C	BIT61	random	0		
YJL059W	YHC3	ortholog	1	CLN3	InParanoid,OMA
YJL060W	BNA3	ortholog	2	KYAT1,KYAT3	InParanoid,OMA
YJL061W	NUP82	random	0		
YJL062W	LAS21	ortholog	1	PIGG	InParanoid
YJL062W-A	COA3	random	0		
YJL063C	MRPL8	ortholog	1	MRPL17	InParanoid
YJL064W		random	0		
YJL065C	DLS1	ortholog	2	CHRAC1,POLE4	InParanoid
YJL066C	MPM1	random	0		
YJL067W		random	0		
YJL068C		ortholog	1	ESD	InParanoid,OMA
YJL069C	UTP18	ortholog	1	UTP18	InParanoid,OMA
YJL070C		random	0		
YJL071W	ARG2	random	0		
YJL072C	PSF2	ortholog	1	GINS2	InParanoid
YJL073W	JEM1	random	0		
YJL074C	SMC3	ortholog	1	SMC3	InParanoid,OMA
YJL075C	APQ13	random	0		
YJL076W	NET1	random	0		
YJL077C	ICS3	random	0		
YJL077W-A		random	0		
YJL077W-B		random	0		
YJL078C	PRY3	ortholog	1	MUC20	OMA
YJL079C	PRY1	random	0		
YJL080C	SCP160	ortholog	1	HDLBP	InParanoid,OMA
YJL081C	ARP4	random	0		
YJL082W	IML2	ortholog	3	TTC39A,TTC39B,TTC39C	InParanoid
YJL083W	TAX4	random	0		
YJL084C	ALY2	random	0		
YJL085W	EXO70	random	0		
YJL086C		random	0		
YJL087C	TRL1	random	0		
YJL088W	ARG3	ortholog	1	OTC	InParanoid,OMA
YJL089W	SIP4	random	0		
YJL090C	DPB11	random	0		
YJL091C	GWT1	ortholog	1	PIGW	InParanoid,OMA
YJL092W	SRS2	random	0		
YJL093C	TOK1	random	0		
YJL094C	KHA1	random	0		
YJL095W	BCK1	random	0		
YJL096W	MRPL49	random	0		
YJL097W	PHS1	ortholog	2	HACD1,HACD2	InParanoid,OMA
YJL098W	SAP185	ortholog	3	PPP6R1,PPP6R2,PPP6R3	InParanoid
YJL099W	CHS6	random	0		
YJL100W	LSB6	ortholog	2	PI4K2A,PI4K2B	InParanoid
YJL101C	GSH1	ortholog	1	GCLC	InParanoid,OMA
YJL102W	MEF2	ortholog	1	GFM2	InParanoid,OMA
YJL103C	GSM1	random	0		
YJL104W	PAM16	ortholog	1	PAM16	InParanoid,OMA
YJL105W	SET4	random	0		
YJL106W	IME2	ortholog	2	CILK1,MAK	InParanoid
YJL107C		random	0		
YJL108C	PRM10	random	0		
YJL109C	UTP10	ortholog	1	HEATR1	InParanoid
YJL110C	GZF3	random	0		
YJL111W	CCT7	ortholog	1	CCT7	InParanoid,OMA
YJL112W	MDV1	random	0		
YJL113W	TY4B-J	random	0		
YJL114W	TY4A-J	random	0		
YJL115W	ASF1	ortholog	2	ASF1A,ASF1B	InParanoid
YJL116C	NCA3	random	0		
YJL117W	PHO86	random	0		
YJL118W		random	0		
YJL119C		random	0		
YJL120W		random	0		
YJL121C	RPE1	ortholog	2	RPE,RPEL1	InParanoid,OMA
YJL122W	ALB1	random	0		
YJL123C	MTC1	random	0		
YJL124C	LSM1	random	0		
YJL125C	GCD14	ortholog	1	TRMT61A	InParanoid,OMA
YJL126W	NIT2	ortholog	1	NIT1	InParanoid,OMA
YJL127C	SPT10	random	0		
YJL127C-B	MCO6	random	0		
YJL127W-A		random	0		
YJL128C	PBS2	ortholog	1	MAP2K2	OrthoDB
YJL129C	TRK1	random	0		
YJL130C	URA2	ortholog	1	CAD	InParanoid
YJL131C	AIM23	random	0		
YJL132W		random	0		
YJL133C-A		random	0		
YJL133W	MRS3	ortholog	2	SLC25A28,SLC25A37	InParanoid,OMA
YJL134W	LCB3	ortholog	2	SGPP1,SGPP2	InParanoid,OMA
YJL135W		random	0		
YJL136C	RPS21B	ortholog	1	RPS21	InParanoid,OMA
YJL136W-A		random	0		
YJL137C	GLG2	ortholog	2	GYG1,GYG2	InParanoid
YJL139C	YUR1	random	0		
YJL140W	RPB4	random	0		
YJL141C	YAK1	ortholog	3	DYRK2,DYRK3,DYRK4	InParanoid
YJL142C	IRC9	random	0		
YJL143W	TIM17	ortholog	2	TIMM17A,TIMM17B	InParanoid,OMA
YJL144W		random	0		
YJL145W	SFH5	random	0		
YJL146W	IDS2	random	0		
YJL147C	MRX5	random	0		
YJL148W	RPA34	random	0		
YJL149W	DAS1	random	0		
YJL150W		random	0		
YJL151C	SNA3	random	0		
YJL152W		random	0		
YJL153C	INO1	ortholog	1	ISYNA1	InParanoid,OMA
YJL154C	VPS35	ortholog	1	VPS35	InParanoid,OMA
YJL155C	FBP26	ortholog	4	PFKFB1,PFKFB2,PFKFB3,PFKFB4	InParanoid,OMA
YJL156C	SSY5	random	0		
YJL156W-A		random	0		
YJL157C	FAR1	random	0		
YJL158C	CIS3	random	0		
YJL159W	HSP150	random	0		
YJL160C	PIR5	random	0		
YJL161W	FMP33	random	0		
YJL162C	JJJ2	ortholog	3	DNAJB8,DNAJC8,SEC63	OrthoDB
YJL163C		random	0		
YJL164C	TPK1	ortholog	4	PRKACA,PRKACB,PRKACG,PRKX	InParanoid,OMA
YJL165C	HAL5	random	0		
YJL166W	QCR8	random	0		
YJL167W	ERG20	ortholog	1	FDPS	InParanoid,OMA
YJL168C	SET2	random	0		
YJL169W		random	0		
YJL170C	ASG7	random	0		
YJL171C	TOH1	random	0		
YJL172W	CPS1	ortholog	1	PM20D1	InParanoid,OMA
YJL173C	RFA3	random	0		
YJL174W	KRE9	random	0		
YJL175W		random	0		
YJL176C	SWI3	ortholog	2	SMARCC1,SMARCC2	InParanoid
YJL177W	RPL17B	ortholog	1	RPL17	InParanoid,OMA
YJL178C	ATG27	random	0		
YJL179W	PFD1	ortholog	1	PFDN1	InParanoid
YJL180C	ATP12	ortholog	1	ATPAF2	InParanoid
YJL181W		random	0		
YJL182C		random	0		
YJL183W	MNN11	random	0		
YJL184W	GON7	random	0		
YJL185C	ATG36	random	0		
YJL186W	MNN5	random	0		
YJL187C	SWE1	random	0		
YJL188C	BUD19	random	0		
YJL189W	RPL39	ortholog	2	RPL39,RPL39L	InParanoid,OMA
YJL190C	RPS22A	ortholog	1	RPS15A	InParanoid,OMA
YJL191W	RPS14B	ortholog	1	RPS14	InParanoid,OMA
YJL192C	SOP4	random	0		
YJL193W		ortholog	1	SLC35E1	InParanoid,OMA
YJL194W	CDC6	ortholog	1	CDC6	InParanoid,OMA
YJL195C		random	0		
YJL196C	ELO1	ortholog	5	ELOVL2,ELOVL3,ELOVL5,ELOVL6,ELOVL7	InParanoid,OMA
YJL197C-A		random	0		
YJL197W	UBP12	ortholog	3	USP11,USP15,USP4	InParanoid
YJL198W	PHO90	ortholog	5	SLC13A1,SLC13A2,SLC13A3,SLC13A4,SLC13A5	InParanoid
YJL199C	MBB1	random	0		
YJL200C	ACO2	random	0		
YJL201W	ECM25	random	0		
YJL202C		random	0		
YJL203W	PRP21	random	0		
YJL204C	RCY1	random	0		
YJL205C	NCE101	random	0		
YJL206C		random	0		
YJL207C	LAA1	random	0		
YJL208C	NUC1	ortholog	1	ENDOG	InParanoid,OMA
YJL209W	CBP1	random	0		
YJL210W	PEX2	ortholog	1	PEX2	InParanoid
YJL211C		random	0		
YJL212C	OPT1	random	0		
YJL213W		random	0		
YJL214W	HXT8	ortholog	12	SLC2A1,SLC2A10,SLC2A12,SLC2A13,SLC2A2,SLC2A3,SLC2A4,SLC2A5,SLC2A6,SLC2A7,SLC2A8,SLC2A9	OMA
YJL215C		random	0		
YJL216C	IMA5	ortholog	1	SLC3A1	InParanoid
YJL217W	REE1	random	0		
YJL218W		random	0		
YJL219W	HXT9	ortholog	12	SLC2A1,SLC2A10,SLC2A12,SLC2A13,SLC2A2,SLC2A3,SLC2A4,SLC2A5,SLC2A6,SLC2A7,SLC2A8,SLC2A9	OMA
YJL220W		random	0		
YJL221C	IMA4	ortholog	1	SLC3A1	InParanoid
YJL222W	VTH2	random	0		
YJL222W-A		random	0		
YJL222W-B		random	0		
YJL223C	PAU1	random	0		
YJL225C		random	0		
YJL225W-A		random	0		
YJR001W	AVT1	ortholog	1	SLC32A1	InParanoid,OMA
YJR002W	MPP10	ortholog	1	MPHOSPH10	InParanoid,OMA
YJR003C	MRX12	random	0		
YJR004C	SAG1	random	0		
YJR005C-A	LSO1	random	0		
YJR005W	APL1	random	0		
YJR006W	POL31	ortholog	1	POLD2	InParanoid,OMA
YJR007W	SUI2	ortholog	1	EIF2S1	InParanoid,OMA
YJR008W	MHO1	ortholog	1	MEMO1	InParanoid,OMA
YJR009C	TDH2	ortholog	2	GAPDH,GAPDHS	InParanoid,OMA
YJR010C-A	SPC1	random	0		
YJR010W	MET3	ortholog	2	PAPSS1,PAPSS2	InParanoid
YJR011C		random	0		
YJR012C	PEX39	random	0		
YJR013W	GPI14	ortholog	1	PIGM	InParanoid,OMA
YJR014W	TMA22	ortholog	1	DENR	InParanoid,OMA
YJR015W		random	0		
YJR016C	ILV3	random	0		
YJR017C	ESS1	ortholog	1	PIN1	InParanoid,OMA
YJR018W		random	0		
YJR019C	TES1	ortholog	1	ACOT8	InParanoid,OMA
YJR020W		random	0		
YJR021C	REC107	random	0		
YJR022W	LSM8	ortholog	1	LSM8	InParanoid,OMA
YJR023C		random	0		
YJR024C	MDE1	ortholog	1	APIP	InParanoid,OMA
YJR025C	BNA1	ortholog	1	HAAO	InParanoid
YJR026W	TY1A-JR1	random	0		
YJR027W	TY1B-JR1	random	0		
YJR028W	TY1A-JR2	random	0		
YJR029W	TY1B-JR2	random	0		
YJR030C		random	0		
YJR031C	GEA1	ortholog	1	GBF1	InParanoid
YJR032W	CPR7	random	0		
YJR033C	RAV1	random	0		
YJR034W	PET191	ortholog	1	COA5	InParanoid
YJR035W	RAD26	ortholog	1	ERCC6	InParanoid
YJR036C	HUL4	ortholog	1	HECTD2	InParanoid
YJR037W		random	0		
YJR038C		random	0		
YJR039W		random	0		
YJR040W	GEF1	ortholog	3	CLCN3,CLCN4,CLCN5	InParanoid,OMA
YJR041C	URB2	random	0		
YJR042W	NUP85	random	0		
YJR043C	POL32	random	0		
YJR044C	VPS55	ortholog	2	LEPROT,LEPROTL1	InParanoid,OMA
YJR045C	SSC1	ortholog	1	HSPA9	InParanoid,OMA
YJR046W	TAH11	random	0		
YJR047C	ANB1	ortholog	3	EIF5A,EIF5A2,EIF5AL1	InParanoid,OMA
YJR048W	CYC1	ortholog	1	CYCS	InParanoid,OMA
YJR049C	UTR1	ortholog	1	NADK	InParanoid
YJR050W	ISY1	random	0		
YJR051W	OSM1	random	0		
YJR052W	RAD7	random	0		
YJR053W	BFA1	random	0		
YJR054W	KCH1	random	0		
YJR055W	HIT1	random	0		
YJR056C		random	0		
YJR057W	CDC8	ortholog	1	DTYMK	InParanoid,OMA
YJR058C	APS2	ortholog	4	AP1S1,AP1S2,AP1S3,AP2S1	InParanoid,OMA,OrthoDB
YJR059W	PTK2	random	0		
YJR060W	CBF1	ortholog	2	MITF,TFEC	InParanoid
YJR061W	MNN14	random	0		
YJR062C	NTA1	random	0		
YJR063W	RPA12	ortholog	1	POLR1H	InParanoid
YJR064W	CCT5	ortholog	1	CCT5	InParanoid,OMA
YJR065C	ARP3	ortholog	2	ACTR3,ACTR3B	InParanoid,OMA
YJR066W	TOR1	ortholog	1	MTOR	InParanoid,OMA
YJR067C	YAE1	random	0		
YJR068W	RFC2	ortholog	1	RFC4	InParanoid,OMA
YJR069C	HAM1	ortholog	1	ITPA	InParanoid,OMA
YJR070C	LIA1	ortholog	1	DOHH	InParanoid,OMA
YJR071W		random	0		
YJR072C	NPA3	ortholog	1	GPN1	InParanoid,OMA
YJR073C	OPI3	ortholog	1	PEMT	InParanoid
YJR074W	MOG1	ortholog	1	RANGRF	InParanoid,OMA
YJR075W	HOC1	random	0		
YJR076C	CDC11	ortholog	11	SEPTIN1,SEPTIN10,SEPTIN11,SEPTIN12,SEPTIN14,SEPTIN3,SEPTIN5,SEPTIN6,SEPTIN7,SEPTIN8,SEPTIN9	OMA,OrthoDB
YJR077C	MIR1	random	0		
YJR078W	BNA2	ortholog	2	IDO1,IDO2	InParanoid,OMA
YJR079W		random	0		
YJR080C	AIM24	random	0		
YJR082C	EAF6	random	0		
YJR083C	ACF4	random	0		
YJR084W	CSN12	ortholog	1	PCID2	InParanoid,OMA
YJR085C		ortholog	3	TMEM14A,TMEM14B,TMEM14C	InParanoid
YJR086W	STE18	random	0		
YJR087W		random	0		
YJR088C	EMC2	ortholog	1	EMC2	InParanoid
YJR089W	BIR1	random	0		
YJR090C	GRR1	random	0		
YJR091C	JSN1	random	0		
YJR092W	BUD4	random	0		
YJR093C	FIP1	random	0		
YJR094C	IME1	random	0		
YJR094W-A	RPL43B	ortholog	1	RPL37A	InParanoid
YJR095W	SFC1	ortholog	3	SLC25A1,SLC25A21,UCP2	OMA
YJR096W		ortholog	11	AKR1A1,AKR1B1,AKR1B10,AKR1B15,AKR1C1,AKR1C2,AKR1C3,AKR1C8,AKR1D1,AKR1E2,AR	OMA,OrthoDB
YJR097W	JJJ3	ortholog	4	DNAJB8,DNAJC24,DNAJC8,SEC63	InParanoid,OrthoDB
YJR098C		random	0		
YJR099W	YUH1	ortholog	2	UCHL1,UCHL3	InParanoid,OMA
YJR100C	AIM25	ortholog	5	PLSCR1,PLSCR2,PLSCR3,PLSCR4,PLSCR5	InParanoid,OMA
YJR101W	RSM26	random	0		
YJR102C	VPS25	ortholog	1	VPS25	InParanoid,OMA
YJR103W	URA8	ortholog	2	CTPS1,CTPS2	InParanoid,OMA
YJR104C	SOD1	ortholog	1	SOD1	InParanoid,OMA
YJR105W	ADO1	ortholog	1	ADK	InParanoid,OMA
YJR106W	ECM27	random	0		
YJR107C-A		random	0		
YJR107W	LIH1	random	0		
YJR108W	ABM1	random	0		
YJR109C	CPA2	ortholog	1	CPS1	OMA
YJR110W	YMR1	ortholog	6	MTM1,MTMR2,MTMR6,MTMR7,MTMR8,MTMR9	InParanoid
YJR111C	PXP2	random	0		
YJR112W	NNF1	random	0		
YJR112W-A		random	0		
YJR113C	RSM7	random	0		
YJR114W		random	0		
YJR115W		random	0		
YJR116W	TDA4	ortholog	1	TLCD4	InParanoid
YJR117W	STE24	ortholog	1	ZMPSTE24	InParanoid,OMA
YJR118C	ILM1	random	0		
YJR119C	JHD2	ortholog	1	KDM5C	OrthoDB
YJR120W		random	0		
YJR121W	ATP2	ortholog	1	ATP5F1B	InParanoid,OMA
YJR122W	IBA57	ortholog	1	IBA57	InParanoid
YJR123W	RPS5	ortholog	1	RPS5	InParanoid,OMA
YJR124C		random	0		
YJR125C	ENT3	random	0		
YJR126C	VPS70	ortholog	3	FOLH1,NAALAD2,NAALADL1	InParanoid,OMA
YJR127C	RSF2	random	0		
YJR128W		random	0		
YJR129C	EFM3	ortholog	3	EEF2KMT,FAM86B1,FAM86B2	InParanoid
YJR130C	STR2	random	0		
YJR131W	MNS1	ortholog	2	MAN1A2,MAN1B1	InParanoid,OMA
YJR132W	NMD5	ortholog	2	IPO7,IPO8	InParanoid,OMA
YJR133W	XPT1	random	0		
YJR134C	SGM1	ortholog	1	SLMAP	OMA
YJR135C	MCM22	random	0		
YJR135W-A	TIM8	ortholog	2	TIMM8A,TIMM8B	InParanoid,OMA
YJR136C	TTI2	random	0		
YJR137C	MET5	random	0		
YJR138W	IML1	ortholog	1	DEPDC5	InParanoid,OMA
YJR139C	HOM6	random	0		
YJR140C	HIR3	random	0		
YJR140W-A		random	0		
YJR141W		ortholog	1	UBE3D	InParanoid
YJR142W		random	0		
YJR143C	PMT4	ortholog	1	POMT1	OMA
YJR144W	MGM101	random	0		
YJR145C	RPS4A	ortholog	3	RPS4X,RPS4Y1,RPS4Y2	InParanoid,OMA
YJR146W		random	0		
YJR147W	HMS2	random	0		
YJR148W	BAT2	ortholog	2	BCAT1,BCAT2	InParanoid,OMA
YJR149W		random	0		
YJR150C	DAN1	random	0		
YJR151C	DAN4	ortholog	1	RTL9	OMA
YJR151W-A		random	0		
YJR152W	DAL5	random	0		
YJR153W	PGU1	random	0		
YJR154W		random	0		
YJR155W	AAD10	ortholog	3	AKR7A2,AKR7A3,AKR7L	InParanoid
YJR156C	THI11	random	0		
YJR157W		random	0		
YJR158W	HXT16	ortholog	12	SLC2A1,SLC2A10,SLC2A12,SLC2A13,SLC2A2,SLC2A3,SLC2A4,SLC2A5,SLC2A6,SLC2A7,SLC2A8,SLC2A9	OMA
YJR159W	SOR1	ortholog	1	SORD	InParanoid,OMA
YJR160C	MPH3	random	0		
YJR161C	COS5	random	0		
YJR162C		random	0		
YKL001C	MET14	random	0		
YKL002W	DID4	ortholog	1	CHMP2A	InParanoid
YKL003C	MRP17	ortholog	1	MRPS6	InParanoid
YKL004W	AUR1	random	0		
YKL005C	BYE1	random	0		
YKL006C-A	SFT1	random	0		
YKL006W	RPL14A	ortholog	1	RPL14	InParanoid
YKL007W	CAP1	ortholog	3	CAPZA1,CAPZA2,CAPZA3	InParanoid,OMA
YKL008C	LAC1	ortholog	6	CERS1,CERS2,CERS3,CERS4,CERS5,CERS6	InParanoid
YKL009W	MRT4	ortholog	1	MRTO4	InParanoid,OMA
YKL010C	UFD4	ortholog	1	TRIP12	InParanoid
YKL011C	CCE1	random	0		
YKL012W	PRP40	ortholog	2	PRPF40A,PRPF40B	InParanoid
YKL013C	ARC19	ortholog	1	ARPC4	InParanoid,OMA
YKL014C	URB1	random	0		
YKL015W	PUT3	random	0		
YKL016C	ATP7	ortholog	1	ATP5PD	InParanoid
YKL017C	HCS1	ortholog	1	IGHMBP2	InParanoid,OMA
YKL018C-A		random	0		
YKL018W	SWD2	ortholog	3	DCAF7,PAAF1,WDR82	InParanoid,OMA,OrthoDB
YKL019W	RAM2	random	0		
YKL020C	SPT23	random	0		
YKL021C	MAK11	ortholog	1	PAK1IP1	InParanoid,OMA
YKL022C	CDC16	ortholog	1	CDC16	InParanoid,OMA
YKL023C-A		random	0		
YKL023W		random	0		
YKL024C	URA6	ortholog	2	AK1,CMPK1	InParanoid,OMA
YKL025C	PAN3	ortholog	1	PAN3	InParanoid
YKL026C	GPX1	ortholog	4	GPX4,GPX5,GPX7,GPX8	InParanoid,OMA
YKL027W	TCD2	random	0		
YKL028W	TFA1	ortholog	1	GTF2E1	OMA
YKL029C	MAE1	ortholog	3	ME1,ME2,ME3	InParanoid,OMA
YKL030W		random	0		
YKL031W		random	0		
YKL032C	IXR1	random	0		
YKL033W	TTI1	ortholog	1	TTI1	InParanoid,OMA
YKL033W-A		ortholog	1	PUDP	InParanoid,OMA
YKL034W	TUL1	random	0		
YKL035W	UGP1	ortholog	1	UGP2	InParanoid,OMA
YKL036C		random	0		
YKL037W	AIM26	random	0		
YKL038W	RGT1	random	0		
YKL039W	PTM1	ortholog	2	TMEM87A,TMEM87B	InParanoid
YKL040C	NFU1	ortholog	1	NFU1	InParanoid,OMA
YKL041W	VPS24	ortholog	2	CHMP2B,CHMP3	InParanoid,OMA
YKL042W	SPC42	random	0		
YKL043W	PHD1	random	0		
YKL044W		random	0		
YKL045W	PRI2	ortholog	1	PRIM2	InParanoid,OMA
YKL046C	DCW1	random	0		
YKL047W	ANR2	ortholog	1	DENND11	InParanoid
YKL048C	ELM1	random	0		
YKL049C	CSE4	random	0		
YKL050C		random	0		
YKL051W	SFK1	random	0		
YKL052C	ASK1	random	0		
YKL053C-A	MDM35	random	0		
YKL053W		random	0		
YKL054C	DEF1	random	0		
YKL055C	OAR1	random	0		
YKL056C	TMA19	ortholog	1	TPT1	InParanoid,OMA
YKL057C	NUP120	random	0		
YKL058W	TOA2	ortholog	1	GTF2A2	InParanoid,OMA
YKL059C	MPE1	random	0		
YKL060C	FBA1	random	0		
YKL061W	BLI1	random	0		
YKL062W	MSN4	random	0		
YKL063C		random	0		
YKL064W	MNR2	random	0		
YKL065C	YET1	ortholog	1	BCAP29	InParanoid
YKL065W-A		random	0		
YKL066W		random	0		
YKL067W	YNK1	ortholog	3	NME1,NME2,NME3	InParanoid,OMA
YKL068W	NUP100	random	0		
YKL068W-A		random	0		
YKL069W		random	0		
YKL070W		random	0		
YKL071W		random	0		
YKL072W	STB6	random	0		
YKL073W	LHS1	random	0		
YKL074C	MUD2	random	0		
YKL075C		random	0		
YKL076C	PSY1	random	0		
YKL077W	PSG1	random	0		
YKL078W	DHR2	ortholog	8	DHX16,DHX33,DHX34,DHX35,DHX38,DHX40,DHX8,DQX1	OMA,OrthoDB
YKL079W	SMY1	random	0		
YKL080W	VMA5	ortholog	2	ATP6V1C1,ATP6V1C2	InParanoid,OMA
YKL081W	TEF4	ortholog	1	EEF1G	InParanoid,OMA
YKL082C	RRP14	random	0		
YKL083W		random	0		
YKL084W	HOT13	random	0		
YKL085W	MDH1	ortholog	1	MDH2	InParanoid,OMA
YKL086W	SRX1	ortholog	1	SRXN1	InParanoid,OMA
YKL087C	CYT2	random	0		
YKL088W	CAB3	random	0		
YKL089W	MIF2	random	0		
YKL090W	CUE2	random	0		
YKL091C		ortholog	4	SEC14L2,SEC14L3,SEC14L4,SEC14L6	InParanoid
YKL092C	BUD2	random	0		
YKL093W	MBR1	random	0		
YKL094W	YJU3	ortholog	1	MGLL	InParanoid,OMA
YKL095W	YJU2	ortholog	1	YJU2B	InParanoid
YKL096C-B		random	0		
YKL096W	CWP1	random	0		
YKL096W-A	CWP2	random	0		
YKL097C		random	0		
YKL098W	MTC2	random	0		
YKL099C	UTP11	ortholog	1	UTP11	InParanoid,OMA
YKL100C	YPF1	random	0		
YKL100W-A		random	0		
YKL101W	HSL1	random	0		
YKL102C		random	0		
YKL103C	APE1	random	0		
YKL104C	GFA1	ortholog	2	GFPT1,GFPT2	InParanoid,OMA
YKL104W-A		random	0		
YKL105C	SEG2	random	0		
YKL106C-A		random	0		
YKL106W	AAT1	random	0		
YKL107W		random	0		
YKL108W	SLD2	random	0		
YKL109W	HAP4	random	0		
YKL110C	KTI12	ortholog	1	KTI12	InParanoid,OMA
YKL111C		random	0		
YKL112W	ABF1	random	0		
YKL113C	RAD27	ortholog	1	FEN1	InParanoid,OMA
YKL114C	APN1	random	0		
YKL115C		random	0		
YKL116C	PRR1	random	0		
YKL117W	SBA1	ortholog	2	PTGES3,PTGES3L	InParanoid
YKL118W		random	0		
YKL119C	VPH2	random	0		
YKL120W	OAC1	ortholog	3	SLC25A30,SLC25A34,SLC25A35	InParanoid,OMA
YKL121W	DGR2	random	0		
YKL122C	SRP21	random	0		
YKL123W		random	0		
YKL124W	SSH4	random	0		
YKL125W	RRN3	ortholog	1	RRN3	InParanoid,OMA
YKL126W	YPK1	ortholog	7	RPS6KA3,RPS6KA6,RPS6KB1,RPS6KB2,SGK1,SGK2,SGK3	InParanoid
YKL127W	PGM1	ortholog	2	PGM1,PGM5	InParanoid,OMA
YKL128C	PMU1	random	0		
YKL129C	MYO3	ortholog	6	CTTN,HCLS1,MYO1C,MYO1E,MYO1F,MYO1H	InParanoid,OMA,OrthoDB
YKL130C	SHE2	random	0		
YKL131W		random	0		
YKL132C	RMA1	random	0		
YKL133C		random	0		
YKL134C	OCT1	ortholog	1	MIPEP	InParanoid,OMA
YKL135C	APL2	ortholog	2	AP1B1,AP2B1	InParanoid
YKL136W		random	0		
YKL137W	CMC1	random	0		
YKL138C	MRPL31	random	0		
YKL138C-A	HSK3	random	0		
YKL139W	CTK1	ortholog	1	CDK9	InParanoid
YKL140W	TGL1	ortholog	6	LIPA,LIPF,LIPJ,LIPK,LIPM,LIPN	InParanoid,OMA
YKL141W	SDH3	ortholog	1	SDHC	InParanoid
YKL142W	MRP8	random	0		
YKL143W	LTV1	ortholog	1	LTV1	InParanoid
YKL144C	RPC25	ortholog	1	POLR3H	InParanoid,OMA
YKL145W	RPT1	ortholog	1	PSMC2	InParanoid,OMA
YKL145W-A		random	0		
YKL146W	AVT3	ortholog	4	SLC36A1,SLC36A2,SLC36A3,SLC36A4	InParanoid,OMA
YKL147C		random	0		
YKL148C	SDH1	ortholog	1	SDHA	InParanoid,OMA
YKL149C	DBR1	ortholog	1	DBR1	InParanoid
YKL150W	MCR1	ortholog	3	CYB5R1,CYB5R2,CYB5R3	OMA
YKL151C	NNR2	ortholog	1	NAXD	InParanoid
YKL152C	GPM1	ortholog	4	BPGM,PGAM1,PGAM2,PGAM4	InParanoid,OMA
YKL153W		random	0		
YKL154W	SRP102	ortholog	1	SRPRB	InParanoid
YKL155C	RSM22	random	0		
YKL156C-A		random	0		
YKL156W	RPS27A	ortholog	2	RPS27,RPS27L	InParanoid,OMA
YKL157W	APE2	ortholog	4	ENPEP,ERAP2,LNPEP,NPEPPS	InParanoid,OMA
YKL159C	RCN1	random	0		
YKL160W	ELF1	ortholog	1	ELOF1	InParanoid
YKL161C	KDX1	ortholog	5	DDX18,DDX55,MAPK10,MAPK12,NLK	OrthoDB
YKL162C		random	0		
YKL162C-A		random	0		
YKL163W	PIR3	random	0		
YKL164C	PIR1	random	0		
YKL165C	MCD4	ortholog	1	PIGN	InParanoid,OMA
YKL165C-A		random	0		
YKL166C	TPK3	ortholog	4	PRKACA,PRKACB,PRKACG,PRKX	InParanoid,OMA
YKL167C	MRP49	random	0		
YKL168C	KKQ8	random	0		
YKL169C		random	0		
YKL170W	MRPL38	random	0		
YKL171W	NNK1	random	0		
YKL172W	EBP2	random	0		
YKL173W	SNU114	random	0		
YKL174C	TPO5	random	0		
YKL175W	ZRT3	random	0		
YKL176C	LST4	random	0		
YKL177W		random	0		
YKL178C	STE3	random	0		
YKL179C	COY1	random	0		
YKL180W	RPL17A	ortholog	1	RPL17	InParanoid,OMA
YKL181W	PRS1	random	0		
YKL182W	FAS1	random	0		
YKL183C-A		random	0		
YKL183W	LOT5	random	0		
YKL184W	SPE1	ortholog	3	AZIN1,AZIN2,ODC1	InParanoid,OMA
YKL185W	ASH1	random	0		
YKL186C	MTR2	random	0		
YKL187C		random	0		
YKL188C	PXA2	ortholog	2	ABCD1,ABCD2	OMA,OrthoDB
YKL189W	HYM1	ortholog	2	CAB39,CAB39L	InParanoid,OMA
YKL190W	CNB1	ortholog	2	PPP3R1,PPP3R2	InParanoid,OMA
YKL191W	DPH2	ortholog	1	DPH2	InParanoid,OMA
YKL192C	ACP1	ortholog	1	NDUFAB1	InParanoid
YKL193C	SDS22	ortholog	1	PPP1R7	InParanoid,OMA
YKL194C	MST1	random	0		
YKL195W	MIA40	random	0		
